"gene_id","cluster","betweenness","degree_centrality"
"CADM1","2",1434,3
"CCL2","2",6612,3
"CCL4","2",2410,3
"CCL5","2",9296,3
"CCNO","2",761,3
"CCR1","2",719,3
"CD7","2",1521,3
"CD8A","2",558,3
"CD9","2",1521,3
"CDC6","2",761,3
"CDH6","2",3554,3
"CDKN2A","2",761,3
"CDT1","2",761,3
"CENPF","2",10672,3
"CENPK","2",0,3
"CENPU","2",0,3
"CHI3L1","2",761,3
"CKS1B","2",9359,3
"COX5B","2",41,3
"CTSC","2",0,3
"CXCL11","2",1773,3
"CXCL9","2",4000,3
"CXCR3","2",1658,3
"DEPDC1B","2",444,3
"DSG2","2",17165,3
"E2F7","2",1521,3
"ECT2","2",463,3
"ERBB4","2",3810,3
"FCGR3A","2",622,3
"FEN1","2",0,3
"FZD2","2",1521,3
"GNA15","2",1521,3
"GRIN2A","2",4542,3
"GZMB","2",2279,3
"H3C10","2",0,3
"H3C8","2",11,3
"HCST","2",1076,3
"HLA-DMA","2",0,3
"HOMER2","2",1521,3
"HOXB4","2",0,3
"HOXB6","2",0,3
"IFI44L","2",1520,3
"IFIT3","2",5526,3
"IL18","2",2672,3
"ITGA4","2",7750,3
"ITGB2","2",5675,3
"KRT17","2",81,3
"KRT18","2",5320,3
"LILRB1","2",1319,3
"LRFN1","2",1520,3
"LTB","2",1331,3
"LTF","2",2076,3
"MAD2L1","2",3785,3
"MAFB","2",1384,3
"MARVELD3","2",0,3
"MATK","2",3136,3
"MET","2",3305,3
"MMP7","2",2130,3
"MRPL47","2",1164,3
"MRPS12","2",1743,3
"MUC16","2",1521,3
"MUC5B","2",1020,3
"NAXE","2",1521,3
"NCAPD2","2",0,3
"NCAPG","2",0,3
"NCAPH","2",0,3
"NDC80","2",2922,3
"NHERF1","2",1521,3
"NRG4","2",0,3
"NRTN","2",1521,3
"PKMYT1","2",16270,3
"PKP3","2",31976,3
"PLAU","2",998,3
"PLK4","2",767,3
"PPL","2",7508,3
"PPP2R2B","2",3032,3
"PPP4C","2",1521,3
"PTTG1","2",3399,3
"RPS6KA1","2",3340,3
"SDC4","2",4689,3
"SKA1","2",3740,3
"SLC2A1","2",2279,3
"SLC7A1","2",1521,3
"TEAD4","2",1521,3
"TFAP2C","2",2279,3
"TGM1","2",1487,3
"TNFRSF21","2",2279,3
"TNNI1","2",1141,3
"TONSL","2",0,3
"TP73","2",892,3
"TRIP13","2",1521,3
"TTK","2",3035,3
"VAV1","2",853,3
"WAS","2",2279,3
"WWC1","2",3714,3
"KLC3","11",3,3
"BMP7","12",7,3
"FBN2","12",7,3
"OAS2","19",2,3
"RNF43","37",0,3
"COL13A1","1",0,2
"COL23A1","1",0,2
"ADD2","2",761,2
"AIFM1","2",39,2
"ALK","2",761,2
"ANPEP","2",761,2
"AQP5","2",761,2
"BIK","2",761,2
"C15orf48","2",0,2
"C1QA","2",1659,2
"C1QB","2",310,2
"C1QC","2",940,2
"CA9","2",761,2
"CACNA1B","2",6,2
"CACNG4","2",5285,2
"CARD11","2",761,2
"CBLC","2",102,2
"CCL20","2",2052,2
"CCL8","2",0,2
"CCR5","2",119,2
"CD109","2",761,2
"CD38","2",2701,2
"CD48","2",761,2
"CDC45","2",884,2
"CDCA2","2",217,2
"CDCA4","2",2277,2
"CENPN","2",0,2
"CEP55","2",640,2
"CIITA","2",761,2
"CIT","2",4278,2
"CITED4","2",761,2
"CLEC5A","2",348,2
"CLIC5","2",760,2
"COX6B1","2",13,2
"COX7B","2",0,2
"CXCL10","2",0,2
"CXCL16","2",40,2
"CYBA","2",0,2
"CYBB","2",1700,2
"DIAPH3","2",322,2
"DNMT3B","2",56,2
"DSC2","2",3552,2
"DSP","2",2832,2
"E2F3","2",761,2
"EMB","2",2277,2
"EME1","2",1520,2
"EPCAM","2",77,2
"ERCC6L","2",761,2
"EXO1","2",0,2
"FAAP24","2",761,2
"FANCA","2",2277,2
"FGF18","2",620,2
"FOXP3","2",761,2
"GINS1","2",0,2
"GINS2","2",0,2
"GINS4","2",0,2
"GJB2","2",1520,2
"GJB3","2",761,2
"GNLY","2",761,2
"GRIN2D","2",0,2
"GRN","2",761,2
"HAVCR2","2",1520,2
"HLA-DMB","2",0,2
"HMGA1","2",1520,2
"HMGA2","2",761,2
"IGF2BP2","2",761,2
"IKBKE","2",123,2
"IKZF3","2",1520,2
"IL27RA","2",761,2
"IL2RB","2",377,2
"IRF6","2",90,2
"ITGB7","2",2752,2
"KCNN4","2",761,2
"KCNQ1","2",1520,2
"KCNQ3","2",0,2
"KIF4A","2",1470,2
"LAIR1","2",174,2
"LDHA","2",0,2
"LILRB4","2",0,2
"LLGL2","2",761,2
"LMNB1","2",325,2
"LRFN4","2",761,2
"LRP2","2",761,2
"LRP8","2",1520,2
"LSM4","2",761,2
"LSP1","2",563,2
"MCM2","2",0,2
"MICB","2",117,2
"MISP","2",1139,2
"MPP7","2",322,2
"MRPL15","2",0,2
"MSX1","2",1056,2
"MYL11","2",761,2
"MYO3B","2",0,2
"NCF1","2",1234,2
"NDUFB9","2",4536,2
"NECTIN4","2",761,2
"NEK2","2",7688,2
"NOX4","2",322,2
"NQO1","2",761,2
"NRARP","2",1520,2
"NTN1","2",761,2
"OASL","2",0,2
"OSM","2",1111,2
"OVGP1","2",0,2
"PACSIN1","2",761,2
"PARD6B","2",3192,2
"PBK","2",0,2
"PDLIM1","2",3755,2
"PDZK1IP1","2",761,2
"PI3","2",58,2
"PIPOX","2",453,2
"PLS1","2",0,2
"PMAIP1","2",3032,2
"POLQ","2",0,2
"POMK","2",761,2
"PRKCI","2",38,2
"PROM1","2",335,2
"PTGS1","2",0,2
"PTX3","2",135,2
"RAP1GAP","2",2277,2
"REC8","2",0,2
"RIPK4","2",15,2
"ROMO1","2",636,2
"RSAD2","2",380,2
"RTN4R","2",761,2
"S100A1","2",1966,2
"SELL","2",714,2
"SEMA3A","2",3032,2
"SH2B2","2",0,2
