"gene_id","cluster","betweenness","degree_centrality"
"NCAPG","2",0,2
"NCAPH","2",0,2
"NDC80","2",406,2
"NECTIN2","2",2406,2
"NEFL","12",15,2
"NEK2","2",47,2
"NHERF1","2",3192,2
"OAS3","15",0,2
"OASL","2",406,2
"ORC6","2",0,2
"PARP9","2",173,2
"PBK","2",0,2
"PCDH17","2",406,2
"PDIA4","2",406,2
"POSTN","2",56,2
"PTK6","2",72,2
"PYCARD","2",203,2
"PYDC1","2",0,2
"RABIF","2",810,2
"RAD54B","2",351,2
"RAD54L","2",0,2
"ROBO2","4",1,2
"SEC24D","12",15,2
"SELL","2",406,2
"SIAH2","2",406,2
"SPP1","2",1133,2
"SRP9","25",1,2
"STXBP2","2",406,2
"SYTL5","2",810,2
"TFR2","9",1,2
"THBS2","2",406,2
"TIGIT","2",2010,2
"TINCR","2",406,2
"TK1","2",0,2
"TMEM63C","2",1212,2
"TNFAIP6","2",406,2
"TNFRSF18","2",406,2
"TPX2","2",406,2
"TTK","2",406,2
"TUBA3D","2",0,2
"TUBA3E","2",405,2
"TUBB8","2",1,2
"VANGL1","2",406,2
"WT1","2",406,2
"ABAT","1",0,1
"ABCA12","2",0,1
"ADAM12","2",0,1
"ADAMTS6","2",0,1
"ADAMTS7","2",0,1
"AKAP5","4",0,1
"APOBEC3B","5",0,1
"ARNT2","6",0,1
"ASPN","2",0,1
"ATAD2","2",0,1
"AUNIP","2",0,1
"BASP1","2",0,1
"BIK","8",0,1
"BLNK","2",0,1
"BMPR1B","9",0,1
"C15orf48","10",0,1
"C5AR2","11",0,1
"CAPSL","2",0,1
"CCN4","2",0,1
"CCNE2","2",0,1
"CCNF","2",0,1
"CD1A","2",0,1
"CD22","2",0,1
"CDC25C","2",0,1
"CDCA2","2",0,1
"CDCA5","2",0,1
"CDH7","2",0,1
"CDKN3","2",0,1
"CEACAM5","2",0,1
"CELSR1","2",0,1
"CERS6","2",0,1
"CFAP45","13",0,1
"CFB","11",0,1
"CHRD","2",0,1
"CHRNA1","14",0,1
"CHRNA6","14",0,1
"CIT","2",0,1
"CKAP2","15",0,1
"CKS2","2",0,1
"COL11A1","2",0,1
"COL1A2","2",0,1
"COX6C","10",0,1
"CRABP2","2",0,1
"CREB3L4","16",0,1
"CRIP1","2",0,1
"CYFIP2","2",0,1
"CYP2B7P","17",0,1
"CYSRT1","18",0,1
"DACH1","2",0,1
"DEPDC1","2",0,1
"DEPDC1B","2",0,1
"DIAPH3","2",0,1
"DLX5","2",0,1
"DNAJC5B","19",0,1
"DPP3","3",0,1
"DQX1","19",0,1
"DTL","2",0,1
"E2F2","2",0,1
"E2F8","2",0,1
"ECM1","2",0,1
"EFNA3","20",0,1
"EGLN3","2",0,1
"ELAVL2","5",0,1
"EPCAM","2",0,1
"EPHA10","20",0,1
"EPS8L1","2",0,1
"ERCC6L","2",0,1
"ESPL1","2",0,1
"EVL","2",0,1
"FANCF","2",0,1
"FBXO43","2",0,1
"FGF18","2",0,1
"FKBP4","2",0,1
"FOXA3","2",0,1
"FOXP3","2",0,1
"GDF15","2",0,1
"GK","2",0,1
"GPC4","2",0,1
"GREB1","2",0,1
"GRM4","21",0,1
"GRM8","21",0,1
"GTSE1","2",0,1
"H2AC13","2",0,1
"HAPLN1","2",0,1
"HMGA2","2",0,1
"HMMR","2",0,1
"HOXA11","2",0,1
"HSD17B7","22",0,1
"IL20","2",0,1
"IL21R","2",0,1
"ILDR1","2",0,1
"ILDR2","2",0,1
"INSM1","2",0,1
"IQGAP3","2",0,1
"IRF7","2",0,1
"JPH3","12",0,1
"KCNE4","2",0,1
"KCNJ11","2",0,1
"KCNJ3","2",0,1
"KCNK15","23",0,1
"KCNK6","23",0,1
"KIF4A","2",0,1
"KLHL38","2",0,1
"KPNA7","2",0,1
"KRT19","2",0,1
"KRT8","2",0,1
"LINGO1","2",0,1
"LRFN2","12",0,1
"LRRC46","2",0,1
"LTA","2",0,1
"MAL2","2",0,1
"MAPKAPK2","2",0,1
"MARCKSL1","2",0,1
"MCCC2","2",0,1
"MELK","2",0,1
"MMP11","2",0,1
"MMP14","2",0,1
"MORN3","24",0,1
"MTHFD2","25",0,1
"MUC5B","2",0,1
"MYB","2",0,1
"MYBL2","2",0,1
"NAT1","26",0,1
"NAT2","26",0,1
"NELL2","4",0,1
"NKX6-1","2",0,1
"NME3","2",0,1
"NMU","3",0,1
"NOD2","15",0,1
"NPNT","17",0,1
"NUF2","2",0,1
"OLR1","2",0,1
"OSM","2",0,1
"OTUB2","2",0,1
"PACSIN1","2",0,1
"PARD6B","2",0,1
"PAX2","2",0,1
"PAX9","2",0,1
"PCLAF","2",0,1
"PCSK6","2",0,1
"PIERCE1","13",0,1
"PMAIP1","8",0,1
"POLQ","2",0,1
"PPP4C","2",0,1
"PRLR","15",0,1
"PYCR1","27",0,1
"PYCR3","27",0,1
"RHOH","2",0,1
"RRM2","2",0,1
"RSAD2","2",0,1
"RSPH1","24",0,1
"RTN4RL2","2",0,1
"RUFY4","2",0,1
"S100P","2",0,1
"SDR16C5","22",0,1
"SDS","28",0,1
"SDSL","28",0,1
"SERPINE1","2",0,1
"SGO1","2",0,1
"SHANK1","12",0,1
"SHCBP1","2",0,1
"SHISA9","12",0,1
"SIGLEC15","2",0,1
"SIM2","6",0,1
"SIX2","2",0,1
"SKA1","2",0,1
"SKA3","2",0,1
"SLC30A8","16",0,1
"SLC44A4","2",0,1
"SLC6A1","12",0,1
"SMIM22","29",0,1
"SMYD3","2",0,1
"SORD","1",0,1
"SPARC","2",0,1
"SPC24","2",0,1
"SPC25","2",0,1
"SQLE","29",0,1
"STIL","2",0,1
"SYNGR3","2",0,1
"SYT9","2",0,1
"SYTL2","2",0,1
"TEX11","12",0,1
"TFF3","2",0,1
"TIMP1","2",0,1
"TJP3","2",0,1
"TMC5","2",0,1
"TMPRSS6","9",0,1
"TNFRSF9","2",0,1
"TNFSF11","2",0,1
"TNFSF4","2",0,1
"TNNT1","2",0,1
"TNR","2",0,1
"TPRN","2",0,1
"TRIB3","2",0,1
"TRIP13","2",0,1
"TRPS1","2",0,1
"UBE2T","2",0,1
"UNC13A","2",0,1
"UNC5B","2",0,1
"WDR62","2",0,1
"WNT7B","2",0,1
"XBP1","25",0,1
"ZNF239","2",0,1
"ZNF587","18",0,1
"ZWINT","2",0,1
