"","external_gene_name","logFC"
"190","CYTIP",-1.21389794911102
"191","REEP6",1.38157088007394
"192","PECR",1.04609581822706
"193","IL1R2",-1.82906266337539
"194","ID2",1.21459211281951
"195","RGS2",1.66964628297068
"196","AGMAT",1.56771360805399
"197","CD2",-1.221766196571
"198","NR5A2",1.94220842611759
"199","PADI2",3.43324681714713
"200","SLC2A1",1.42205097805753
"201","CDC20",2.10197114611437
"202","STMN1",1.05577630761505
"203","NEK2",1.91856720595053
"204","CENPF",1.5414593193871
"205","KIF14",1.56855654039013
"206","MYB",1.88559083082003
"207","RARRES1",2.92110636566636
"208","PCDH17",1.26234638600308
"209","DNAH7",1.51206333200623
"210","GDA",1.50639367414354
"211","PHF19",1.20876976288699
"212","CSF3R",2.79660394386908
"213","FLVCR2",1.2999505932078
"214","AVPI1",-1.00624989206171
"215","NCAPH",1.72577929176336
"216","KIF18A",1.81935536215376
"217","DEPDC7",2.21869779710063
"218","GPSM2",1.05804187787952
"219","SV2C",-1.70638366252
"220","RASL11A",1.4682561892594
"221","PLAU",1.46677905738318
"222","CIT",1.1162148699126
"223","CENPK",1.26508361580261
"224","STIL",1.03423876906239
"225","HJURP",1.66902197135288
"226","G0S2",1.37368022899955
"227","CKS2",1.0878407417088
"228","CHPF",1.14429267272916
"229","PI3",2.82525925678171
"230","PCK1",4.32634158485043
"231","H1-3",1.22909511655373
"232","H2BC11",1.47967758816573
"233","SCGB2A1",3.27836557271206
"234","ABCC4",1.19446858578755
"235","HROB",1.55070256340875
"236","MBOAT7",1.19449198553423
"237","MED1",1.30249791235315
"238","TMEM74B",1.91345340554769
"239","ID1",1.51265939409801
"240","BPIFB1",-4.00341472093175
"241","RBM42",1.06978780729871
"242","BCL2L12",1.12777161601897
"243","WNK4",2.4646784514678
"244","DLGAP5",1.47536789778579
"245","ATP13A4",-1.42619832339269
"246","LRRC61",1.30585879195707
"247","PKMYT1",2.4126683981023
"248","CHTF18",1.59685064889813
"249","TNFRSF19",2.42243732372427
"250","STEAP4",2.37541446955493
"251","A4GALT",2.31305738479481
"252","PODXL",1.52956897956397
"253","IRF5",1.00239591463595
"254","ALDH1A2",3.64705268886343
"255","E2F8",1.321299875254
"256","KLK10",3.09044494655497
"257","RNASE1",-1.11245531754933
"258","FOXJ1",2.81016689034735
"259","RHBDF2",1.43796521275037
"260","SGO1",1.449569233537
"261","THEM6",1.26542096668599
"262","TOMM40",1.05001382115722
"263","KIF1A",2.91883070200373
"264","ARPC1B",1.12031533116972
"265","RBBP8NL",1.32665496297671
"266","LAMA5",2.19606214167148
"267","SLC6A8",1.90040448962617
"268","GINS2",1.56418829526577
"269","PDLIM4",2.08186361289215
"270","TOP2A",2.03075419568085
"271","STARD3",3.38171204771481
"272","RARA",1.48948861862522
"273","PPP1R1B",3.52246579069188
"274","KHDRBS3",1.647093796675
"275","NUP210",1.59189515915197
"276","XAF1",-1.23023940229888
"277","RBM38",1.35638280916447
"278","EPHB2",1.87284608118393
"279","HSPBP1",1.25280140533733
"280","ZDHHC8BP",2.01035382172057
"281","CCNB1",1.7977283857172
"282","VAV3",3.13789308668778
"283","PSRC1",1.02380276168028
"284","TMEM106C",1.02103866907439
"285","LDHA",1.06773161342815
"286","CDCA8",1.14243017590352
"287","HOOK1",1.02917397095685
"288","SLC43A3",1.11281461487627
"289","PSAT1",1.56530359319268
"290","CCNJL",1.28194708940432
"291","HILPDA",1.34221782581512
"292","ITGA7",1.43857036767839
"293","TROAP",1.81266464433504
"294","ESPL1",1.91147888967904
"295","CPM",1.64634410909876
"296","CAPN9",-1.6782853681549
"297","GLUL",-1.0269144834915
"298","SLC19A3",3.20388762735079
"299","USP44",2.2151219877245
"300","TTYH3",1.3361720772759
"301","ALPK3",1.97766500262489
"302","CIB2",1.57148087416203
"303","LIMD2",1.36597391560984
"304","TMOD1",2.35323990719996
"305","DSCC1",1.27774095905377
"306","IL33",-2.3353640257689
"307","HMGA1",1.40410602812919
"308","NRM",1.24500572131397
"309","GGH",1.74384511850402
"310","SULF1",1.90027754628826
"311","DDX60",-1.30524670403594
"312","MMP7",4.06274050958052
"313","NUSAP1",1.22841984258027
"314","KIF23",1.5289668269571
"315","KNL1",1.20431657490686
"316","PAQR5",1.69902839666524
"317","STRA6",2.62596412412506
"318","SPTBN5",1.85874495571891
"319","KHK",2.46888621408227
"320","SLC3A1",2.72759114212628
"321","CYP2C9",-1.53073709671066
"322","BTBD16",-1.68464793545143
"323","KIF11",1.23577300099621
"324","DUSP5",2.38409601275351
"325","CEP55",1.77080030982067
"326","KIF20B",1.01850773070468
"327","DNA2",1.11138367839174
"328","MNS1",1.35396907193064
"329","ARHGAP24",-1.76336834230461
"330","RASGEF1B",-1.01449120073803
"331","CENPE",1.26951602554695
"332","MTTP",3.18448616997346
"333","PHLDA1",1.12052662225561
"334","LGR5",3.55028025077128
"335","SLC46A3",1.5437633500475
"336","GALNT6",-1.13428340397873
"337","CDH24",1.24516966614805
"338","SLC27A2",1.65646389122171
"339","PIF1",1.51910218224431
"340","CYP11A1",-1.62110828095241
"341","HAPLN3",2.42890524818537
"342","TICRR",1.70017628712246
"343","CPNE2",1.60486617298293
"344","SLC16A3",1.19932099591239
"345","RNF157",1.74442889058092
"346","CEP131",1.33304926321097
"347","PMAIP1",2.16053281572859
"348","P3H4",1.69703447149044
"349","ERBB2",2.80674627494674
"350","GRB7",3.70053450906828
"351","MIEN1",3.41178928730085
"352","PGGHG",2.60867405977447
"353","LMTK3",2.02449401392296
"354","ZNF787",1.11570395789791
"355","CTU1",1.40855998984749
"356","ARHGEF19",1.53514430439798
"357","EVA1B",1.77106205086373
"358","PLK4",1.17606222092814
"359","KIF2C",1.87194663662564
"360","NUF2",1.25338420329542
"361","XPR1",1.31562712118993
"362","RGS16",1.25936556756472
"363","ANXA9",1.80611858046405
"364","DTL",1.40058937904034
"365","PPFIA4",2.57028569865692
"366","MALL",2.59004454253313
"367","FAHD2B",-1.43651860863288
"368","CCDC150",1.40993877060192
"369","ABCA12",3.14094316557149
"370","ADGRG7",3.26053596029672
"371","ALDH1L1",3.91520084798946
"372","ILDR1",1.80206891564856
"373","CCNA2",1.42076591643105
"374","DCDC2",2.51479500700245
"375","MTFR2",1.33454554854344
"376","C7orf50",1.06088213276647
"377","CREB5",2.56615282899809
"378","CDCA5",1.75989179224958
"379","IGFBP3",2.10670817852299
"380","PSPH",1.06510089546052
"381","GINS4",1.3419568189153
"382","ADHFE1",-1.01307032379788
"383","ARHGAP39",1.97717492151555
"384","SLC39A4",1.66202598186529
"385","NOTCH1",1.62097172490457
"386","PDSS1",1.19193821046462
"387","MKI67",1.57332369068101
"388","FUOM",2.0153121728677
"389","CHEK1",1.18476561262549
"390","CDC42EP2",1.13684723901443
"391","ADGRL3",2.42911162085905
"392","LYPD6B",-1.2444007893951
"393","CACNA1C",-1.40248700446426
"394","KCNE4",-1.12188292970947
"395","MZT2B",1.51279370104043
"396","TMEM163",-1.19203165010867
"397","CYSLTR2",-2.1608131786522
"398","SPC25",1.31812980200458
"399","HHEX",1.78613942454806
"400","PLOD2",1.61581100028035
"401","CENPH",1.36059872592309
"402","PLA2R1",1.37133445554899
"403","ANKRD29",-1.63958361545768
"404","OBSCN",2.32815774895353
"405","SKA1",1.71148186942304
"406","APCDD1",1.52194872761411
"407","EME1",1.27361831735475
"408","FZD7",1.54686289420718
"409","SLC26A2",1.42280994672301
"410","HKDC1",1.27057579029299
"411","ATAD2",1.35702368919262
"412","BUB1B",1.5269676102135
"413","ARSL",1.48293896138345
"414","CCNB2",1.67880933018082
"415","GALNT14",2.54528675731227
"416","RHPN1",2.11264698756337
"417","ESYT3",-1.27424789155807
"418","CDC25C",1.54973452216623
"419","DNAH3",2.30179516810229
"420","GDPD5",1.3194468921645
"421","SPATA2L",1.03281427309479
"422","ADAMTS4",1.45043199520873
"423","CHAF1B",1.00693710069317
"424","TPPP3",3.15274769662633
"425","TFF2",-2.30826514654293
"426","C21orf58",1.24597564890701
"427","FGFR4",1.87529656311145
"428","TONSL",1.65914089846716
"429","RECQL4",2.36460364312562
"430","PPP1R16A",1.09310870018606
"431","FBXL13",-1.03954510198765
"432","YDJC",1.06387740005883
"433","PGAP3",3.04373646522588
"434","ALDH16A1",1.04294217024545
"435","NAGS",1.75620430819065
"436","RACGAP1",1.05567801071095
"437","RAVER1",1.29964867546693
"438","SPC24",1.22830604500172
"439","CCNF",1.35530815169177
"440","PAQR4",1.54681980638099
"441","ASRGL1",3.13912849479157
"442","IGSF8",1.00495058047141
"443","HAAO",1.58209039713345
"444","LRATD1",2.37956608760009
"445","FRZB",-1.255826912848
"446","S100A9",5.14578476066389
"447","ATP1A1",1.21288635643943
"448","NEK10",2.00115512744522
"449","FBLN2",2.42906566945165
"450","SGO2",1.10784231477918
"451","NUAK2",2.01212044558314
"452","FABP1",7.46207811851609
"453","KIF15",1.3517848202133
"454","RPL39L",1.33754099813034
"455","MELTF",2.09679139219326
"456","CDC25A",1.34798442111903
"457","SPRY1",1.2373825790928
"458","POC1A",1.02646150295156
"459","MAD2L1",1.48420656495576
"460","GUCY1A1",1.73053113557336
"461","ELOVL7",2.16670859309063
"462","LEAP2",1.13973406904201
"463","PTTG1",1.76839577356556
"464","IQUB",1.75125681037944
"465","NOS3",1.88807048985056
"466","INTS1",1.2106215679792
"467","TMUB1",1.17333282158003
"468","CLDN3",4.73991430097182
"469","ZNF367",1.15514718652188
"470","MELK",1.75287709769629
"471","CLDN2",3.45636979485745
"472","SKA3",1.52313154590542
"473","DDIAS",1.97210728868766
"474","DIPK1B",2.07308831194054
"475","STK32C",1.43661301523729
"476","ZNF219",1.53332156520995
"477","PRAP1",4.34161720451995
"478","UBTD1",1.46928118229469
"479","E2F7",1.70555611299129
"480","ABTB2",1.98050754773946
"481","ADAMTS15",-1.37295318094155
"482","PPP1R14D",1.7693187157376
