"","node_1","node_2","score"
"131","CCNB1","BUB1",0.615
"61","CCNB1","SKA1",0.72
"525","CCNB1","CKS2",0.987
"277","CCNB1","UBE2C",0.816
"601","KIF23","PRC1",0.751
"594","ESPL1","PTTG1",0.999
"492","USP44","CDC20",0.9
"441","ESPL1","TTK",0.42
"642","ESPL1","CDK1",0.946
"41","TMOD1","ANLN",0.402
"1419","TMOD1","NEB",0.824
"97","KIF23","PLK1",0.654
"469","KIF23","KIF2C",0.575
"194","KIF23","KIF15",0.54
"608","KIF23","KIF20A",0.66
"718","KIF23","KIFC1",0.596
"164","KIF23","AURKB",0.491
"1172","KIF23","H3C1",0.43
"731","KIF23","RACGAP1",0.999
"20","KIF23","KIF18A",0.54
"42","KIF23","ANLN",0.511
"8","KIF23","KIF11",0.669
"11","SLC3A1","SLC7A5",0.812
"444","KIF23","CEP55",0.652
"760","KIF23","TOP2A",0.407
"803","KIF23","BRCA1",0.439
"903","KIF23","KIF1A",0.564
"966","KIF23","KIF18B",0.568
"377","KIF23","KIF14",0.678
"142","KIF23","SHCBP1",0.675
"461","KIF23","KIF20B",0.66
"176","SLC3A1","SLC7A8",0.515
"195","KIF11","KIF15",0.734
"378","KIF11","KIF14",0.54
"721","KIF11","KIFC1",0.54
"895","KIF11","KIF1A",0.54
"71","KIF11","BUB1B",0.544
"970","KIF11","KIF18B",0.54
"479","KIF11","KIF2C",0.6
"363","NDC80","CENPF",0.752
"728","KIF11","RACGAP1",0.412
"259","KIF11","FOXM1",0.4
"1215","KIF11","CCNA2",0.45
"19","KIF11","KIF18A",0.54
"485","KIF11","CDC20",0.487
"460","KIF11","KIF20B",0.54
"643","KIF11","CDK1",0.682
"57","NDC80","CENPH",0.591
"112","NDC80","CDT1",0.497
"212","MNS1","FAM166C",0.8
"621","KIF11","KIF20A",0.567
"613","LMNB1","KIF20A",0.49
"197","LMNB1","LMNB2",0.998
"639","LMNB1","CDK1",0.506
"146","DNAH3","DNAH7",0.9
"231","NDC80","KNL1",0.951
"960","NDC80","SPC24",0.999
