"","node_1","node_2","score"
"443","TACC3","CEP55",0.693
"379","KIF15","KIF14",0.54
"610","KIF15","KIF20A",0.54
"463","KIF15","KIF20B",0.671
"252","TACC3","FGFR3",0.474
"1493","JAG2","NOTCH1",0.998
"852","PIF1","BRCA1",0.571
"892","TRAIP","H2AX",0.412
"336","H2AC14","H3C12",0.439
"908","CDCA2","KPNA2",0.587
"813","CDCA2","BRCA1",0.4
"1176","H2AC14","H4C13",0.907
"1405","H2AC14","PHF19",0.499
"550","H2AC14","H2AC12",0.9
"539","H2AC14","H2BC13",0.439
"294","H2AC14","H2BC12",0.941
"380","H2AC14","NR5A2",0.499
"306","H2AC14","H2AC13",0.9
"988","H2AC14","H2BC11",0.941
"216","H2AC14","H3C13",0.949
"894","H2AC14","H2AX",0.4
"1360","H2AC14","H2AC4",0.9
"1035","H2AC14","H2BC17",0.439
"1316","H2AC14","H2BC3",0.439
"1077","H2AC14","H4C1",0.907
"211","H2AC14","H2AC21",0.8
"1038","H2AC14","H2BC14",0.515
"1390","H2AC14","H2BC15",0.439
"1279","H2AC14","H2AC16",0.9
"839","H2AC14","BRCA1",0.522
"245","H2AC14","CENPA",0.534
"414","H2AC14","H2BC21",0.629
"317","H2AC14","H2AC11",0.9
"1132","H2AC14","UHRF1",0.499
"1070","H1-10","H4C1",0.802
"993","H1-10","H2BC11",0.8
"1339","H1-10","H3C11",0.8
"1349","H1-10","H2AC4",0.8
"1198","H1-10","H4C13",0.802
"1123","H2AC14","H4C4",0.907
"1260","H2AC14","H2AC15",0.9
"455","H2AC14","ORC1",0.526
"437","H1-10","H3C10",0.8
"1144","H1-10","H3C1",0.84
"940","H2AC14","H2BC18",0.439
"653","H1-5","CDK1",0.459
"327","H1-10","H3C12",0.806
"1119","H1-10","H4C4",0.802
"1223","H1-5","CCNA2",0.457
"420","H1-5","H2BC21",0.733
"1318","H2AC21","H2BC3",0.586
"684","FBLN1","FBLN2",0.908
"1183","H2AC21","H4C13",0.907
"834","H2AC21","BRCA1",0.531
"1104","H2AC21","H4C4",0.907
"290","H2AC21","H2BC12",0.466
"329","H2AC21","H3C12",0.541
"1376","H2AC21","H2BC15",0.439
"1288","H2AC21","H2AC16",0.8
"1053","H2AC21","H2BC14",0.942
"1403","H3C13","PHF19",0.612
"225","H2AC21","H3C13",0.949
"1074","H2AC21","H4C1",0.907
"941","H2AC21","H2BC18",0.446
"425","H3C13","H3C10",0.928
"299","H3C13","H2BC12",0.969
"382","H3C13","NR5A2",0.499
"556","H3C13","H2AC12",0.951
"924","H3C13","H2BC8",0.807
"1255","H2AC21","H2AC15",0.8
"303","H2AC21","H2AC13",0.8
"998","H2AC21","H2BC11",0.466
"1014","H2AC21","H2BC17",0.947
"421","H2AC21","H2BC21",0.524
"315","H2AC21","H2AC11",0.8
"533","H2AC21","H2BC13",0.439
"553","H2AC21","H2AC12",0.8
"457","H3C13","ORC1",0.61
"1143","H3C13","UHRF1",0.991
"1065","H3C13","H4C1",0.911
"515","H3C13","CDCA8",0.601
"1011","H3C13","H2BC17",0.954
"1261","H3C13","H2AC15",0.911
"1099","H3C13","H4C4",0.911
"285","H3C13","H2BC7",0.807
"1290","H3C13","H2AC16",0.911
"1344","H3C13","H3C11",0.929
"1061","H3C13","H2BC14",0.94
"568","H3C13","H2BC10",0.807
"1397","H3C13","H2BC15",0.932
"332","H3C13","H3C12",0.946
"1169","H3C13","H3C1",0.929
"934","H3C13","H2BC18",0.932
"1205","H3C13","H4C13",0.911
"532","H3C13","H2BC13",0.716
"1319","H3C13","H2BC3",0.949
"312","H3C13","H2AC11",0.911
"1420","H3C13","H2BC6",0.807
"410","H3C13","H2BC21",0.998
"873","H3C13","H2AX",0.667
"1357","H3C13","H2AC4",0.929
"996","H3C13","H2BC11",0.933
"305","H3C13","H2AC13",0.944
"497","KNL1","CDC20",0.651
"503","ERCC6L","CENPI",0.475
"269","ERCC6L","BLM",0.725
"248","KNL1","CENPA",0.499
"629","CDKN3","CDK1",0.462
"775","KNL1","HJURP",0.499
"665","KNL1","CENPK",0.499
"962","KNL1","SPC24",0.894
"626","CLDN2","CLDN3",0.707
"827","KNL1","BRCA1",0.446
"757","CLDN2","CLDN4",0.65
"396","KNL1","CENPW",0.499
"500","KNL1","CENPI",0.499
"902","PPFIA3","KIF1A",0.478
"855","PPFIA3","RIMS1",0.513
"691","CLDN2","CLDN15",0.65
"364","CENPA","CENPF",0.489
"773","CENPA","HJURP",0.995
"1072","CENPA","H4C1",0.956
"667","CENPA","CENPK",0.975
"343","CLDN2","CLDN7",0.81
"394","CENPA","CENPW",0.964
"928","CENPA","H2BC8",0.807
"434","CENPA","H3C10",0.8
"293","CENPA","H2BC12",0.899
"287","CENPA","H2BC7",0.807
"1283","CENPA","H2AC16",0.907
"1103","CENPA","H4C4",0.956
"540","CENPA","H2BC13",0.517
"499","CENPA","CENPI",0.984
"932","CENPA","H2BC18",0.735
"1012","CENPA","H2BC17",0.869
"1266","CENPA","H2AC15",0.907
"882","CENPA","H2AX",0.678
"1348","CENPA","H3C11",0.8
"1422","CENPA","H2BC6",0.807
"1354","CENPA","H2AC4",0.955
"415","CENPA","H2BC21",0.946
"314","CENPA","H2AC11",0.907
"992","CENPA","H2BC11",0.907
"328","CENPA","H3C12",0.873
"307","CENPA","H2AC13",0.907
"1387","CENPA","H2BC15",0.861
"563","CENPA","H2BC10",0.807
"1045","CENPA","H2BC14",0.861
"836","BRAT1","BRCA1",0.907
"477","CENPA","KIF2C",0.537
"1190","CENPA","H4C13",0.956
"1302","CENPA","H2BC3",0.813
"1147","CENPA","H3C1",0.8
"1235","FOXM1","CCNA2",0.766
"1480","PDZK1","SLC19A3",0.418
"977","FOXM1","TK1",0.459
"906","E2F1","KPNA2",0.453
"627","FOXM1","CDK1",0.85
"771","FOXM1","DEPDC1",0.441
"842","E2F1","BRCA1",0.611
"1487","PDZK1","ABCC2",0.457
"1475","PDZK1","ABCC4",0.69
"913","ABCA2","ATP1A1",0.72
"481","E2F1","CDC20",0.457
"584","BLM","FANCA",0.815
"1229","E2F1","CCNA2",0.987
"874","BLM","H2AX",0.457
"352","E2F1","E2F2",0.989
"301","BLM","DNA2",0.899
"831","BLM","BRCA1",0.773
"341","BLM","XRCC2",0.63
"1465","BLM","RAD51",0.797
"355","BLM","EXO1",0.951
"1484","PDLIM7","ESPN",0.545
"843","UBE2C","BRCA1",0.9
"764","UBE2C","TOP2A",0.47
"599","UBE2C","PTTG1",0.422
"1459","UBE2C","RAD51",0.72
"374","UBE2C","NEK2",0.499
"1392","H2BC7","H2BC15",0.8
"1278","H2BC7","H2AC16",0.906
"495","UBE2C","CDC20",0.97
"1262","H2BC7","H2AC15",0.906
"1068","H2BC7","H4C1",0.908
"1437","H2BC7","H2BC6",0.9
"310","H2BC7","H2AC13",0.906
"1346","H2BC7","H3C11",0.807
"1232","UBE2C","CCNA2",0.499
"645","UBE2C","CDK1",0.659
"669","H2BC7","CENPK",0.8
"334","H2BC7","H3C12",0.851
"398","H2BC7","CENPW",0.8
"1495","NRARP","NOTCH1",0.93
"1121","H2BC7","H4C4",0.908
"1127","H2BC12","H4C4",0.94
"933","H2BC7","H2BC18",0.8
"1022","H2BC7","H2BC17",0.819
"1468","H2BC12","RAD51",0.499
"417","H2BC7","H2BC21",0.9
"316","H2BC7","H2AC11",0.906
"1204","H2BC7","H4C13",0.908
"502","H2BC7","CENPI",0.801
"1178","H2BC12","H4C13",0.94
"1409","H2BC12","PHF19",0.499
"1301","H2BC7","H2BC3",0.8
"929","H2BC7","H2BC8",0.9
"413","H2BC12","H2BC21",0.615
"319","H2BC12","H2AC11",0.945
"1031","H2BC12","H2BC17",0.615
"1160","H2BC7","H3C1",0.807
"431","H2BC7","H3C10",0.807
"1370","H2BC12","H2AC4",0.943
"1057","H2BC7","H2BC14",0.8
"558","H2BC7","H2BC10",0.9
"833","H2BC12","BRCA1",0.676
"885","H2BC12","H2AX",0.943
"1263","H2BC12","H2AC15",0.913
"989","H2BC12","H2BC11",0.946
"1054","H2BC12","H2BC14",0.4
"1377","H2BC12","H2BC15",0.4
"1276","H2BC12","H2AC16",0.913
"308","H2BC12","H2AC13",0.965
"1150","H2BC12","H3C1",0.903
"1332","H2BC12","H3C11",0.903
"453","H2BC12","ORC1",0.547
"1297","H2BC12","H2BC3",0.557
"333","H2BC12","H3C12",0.987
"430","H2BC12","H3C10",0.903
"385","H2BC12","NR5A2",0.499
"544","H2BC12","H2BC13",0.4
"551","H2BC12","H2AC12",0.948
"1136","H2BC12","UHRF1",0.499
"1092","H2BC12","H4C1",0.94
"519","SGO2","CDCA8",0.867
"1076","H2AC13","H4C1",0.907
"819","SGO2","BRCA1",0.439
"466","SGO2","KIF2C",0.621
"980","DNA2","POLD1",0.499
"356","DNA2","EXO1",0.855
"339","DNA2","XRCC2",0.499
"787","DNA2","MCM10",0.597
"1466","DNA2","RAD51",0.575
"824","DNA2","BRCA1",0.499
"552","H2AC13","H2AC12",0.9
"541","H2AC13","H2BC13",0.439
"919","H2AC13","H2BC8",0.936
"1421","H2AC13","H2BC6",0.906
"944","H2AC13","H2BC18",0.942
"325","H2AC13","H3C12",0.662
"1003","H2AC13","H2BC11",0.967
"1253","H2AC13","H2AC15",0.9
"1188","H2AC13","H4C13",0.907
"688","PDE3A","WDR62",0.422
"1291","H2AC13","H2BC3",0.515
"408","H2AC13","H2BC21",0.975
"313","H2AC13","H2AC11",0.939
"1361","H2AC13","H2AC4",0.9
"546","H2AC11","H2AC12",0.9
"1021","H2AC13","H2BC17",0.613
"916","H2AC11","H2BC8",0.94
"1443","H2AC11","H2BC6",0.911
"422","H2AC11","H2BC21",0.906
"1081","H2AC11","H4C1",0.907
"1100","H2AC13","H4C4",0.907
"1373","H2AC13","H2BC15",0.492
"1285","H2AC13","H2AC16",0.9
"1044","H2AC13","H2BC14",0.446
"560","H2AC13","H2BC10",0.906
"809","H2AC13","BRCA1",0.531
"1366","H2AC11","H2AC4",0.9
"945","H2AC11","H2BC18",0.907
"1111","H3C12","H4C4",0.951
"1210","H2AC11","H4C13",0.907
"1113","H2AC11","H4C4",0.907
"1416","H3C12","PHF19",0.765
"1338","H3C12","H3C11",0.921
"381","H3C12","NR5A2",0.499
"1274","H2AC11","H2AC16",0.9
"569","H2AC11","H2BC10",0.911
"987","H2AC11","H2BC11",0.947
"1015","H3C12","H2BC17",0.788
"1251","H2AC11","H2AC15",0.9
"1073","H3C12","H4C1",0.951
"516","H3C12","CDCA8",0.594
"429","H3C12","H3C10",0.921
"554","H3C12","H2AC12",0.439
"927","H3C12","H2BC8",0.807
"991","H3C12","H2BC11",0.965
"1137","H3C12","UHRF1",0.986
"454","H3C12","ORC1",0.61
"1173","H3C12","H3C1",0.921
"423","H3C12","H2BC21",0.997
"1209","H3C12","H4C13",0.951
"1311","H3C12","H2BC3",0.949
"880","H3C12","H2AX",0.951
"565","H3C12","H2BC10",0.807
"1046","H3C12","H2BC14",0.672
"1391","H3C12","H2BC15",0.672
"694","H3C12","TONSL",0.623
"1364","H3C12","H2AC4",0.967
"815","XRCC2","BRCA1",0.842
"538","H3C12","H2BC13",0.706
"357","XRCC2","EXO1",0.499
"1456","XRCC2","RAD51",0.938
"1428","H3C12","H2BC6",0.807
"681","TEAD4","RUNX3",0.631
"939","H3C12","H2BC18",0.672
"582","DPP4","CD9",0.805
"693","CLDN7","CLDN15",0.65
"799","DPP4","MME",0.9
"579","CLDN7","CD9",0.656
"625","CLDN7","CLDN3",0.731
"756","CLDN7","CLDN4",0.924
"677","RRM2","CCNF",0.685
"1270","RRM2","RAVER1",0.863
"658","RRM2","CDK1",0.661
"392","PTGS1","PTGS2",0.935
"733","KIF14","RACGAP1",0.455
"646","EXO1","CDK1",0.531
"1463","EXO1","RAD51",0.538
"820","EXO1","BRCA1",0.781
"402","CENPF","MKI67",0.448
"467","CENPF","KIF2C",0.47
"982","DTL","POLD1",0.499
"482","NEK2","CDC20",0.861
"702","DTL","CHEK1",0.457
"522","KIF14","KIF4A",0.413
"776","KIF14","HJURP",0.405
"585","KIF14","CIT",0.654
"603","KIF14","PRC1",0.902
"464","KIF14","KIF20B",0.54
"965","KIF14","KIF18B",0.54
"898","KIF14","KIF1A",0.54
"869","KIF14","SPTBN2",0.416
"618","KIF14","KIF20A",0.756
"473","KIF14","KIF2C",0.66
"1442","CENPW","H2BC6",0.8
"689","ASPM","WDR62",0.798
"768","ASPM","TOP2A",0.477
"401","ADAMTS4","CEP85L",0.439
"580","IGSF8","CD9",0.988
"1124","CENPW","H4C4",0.8
"720","KIF14","KIFC1",0.54
"418","NR5A2","H2BC21",0.499
"1024","NR5A2","H2BC17",0.499
"878","NR5A2","H2AX",0.499
"1043","NR5A2","H2BC14",0.499
"1388","NR5A2","H2BC15",0.499
"1009","NR5A2","H2BC11",0.499
"545","NR5A2","H2BC13",0.499
"921","CENPW","H2BC8",0.8
"1069","CENPW","H4C1",0.8
"507","CENPW","CENPI",0.985
"1323","NR5A2","H2BC3",0.499
"778","CENPW","HJURP",0.499
"766","MKI67","TOP2A",0.474
"1202","CENPW","H4C13",0.8
"943","H2BC21","H2BC18",0.825
"1185","H2BC21","H4C13",0.908
"1462","H2BC21","RAD51",0.499
"1153","H2BC21","H3C1",0.857
"562","CENPW","H2BC10",0.8
"670","CENPW","CENPK",0.979
"995","H2BC21","H2BC11",0.874
"1358","H2BC21","H2AC4",0.942
"875","H2BC21","H2AX",0.986
"535","H2BC21","H2BC13",0.493
"1299","H2BC21","H2BC3",0.874
"1372","H2BC21","H2BC15",0.874
"1036","H2BC21","H2BC14",0.89
"566","H2BC21","H2BC10",0.9
"1447","H2BC21","H2BC6",0.908
"1258","H2BC21","H2AC15",0.906
"1325","H2BC21","H3C11",0.807
"849","H2BC21","BRCA1",0.809
"1016","H2BC21","H2BC17",0.887
"1414","H2BC21","PHF19",0.499
"762","H2BC21","TOP2A",0.426
"1281","H2BC21","H2AC16",0.906
"575","H2BC21","IL33",0.575
"1130","H2BC21","UHRF1",0.574
"1098","H2BC21","H4C4",0.908
"449","H2BC21","ORC1",0.688
"511","H2BC21","CDCA8",0.407
"549","H2BC21","H2AC12",0.439
"426","H2BC21","H3C10",0.807
"1087","H2BC21","H4C1",0.908
"925","H2BC21","H2BC8",0.9
"1294","H3C10","H2BC3",0.807
"923","H3C10","H2BC8",0.807
"1151","H3C10","H3C1",0.9
"564","H3C10","H2BC10",0.807
"872","H3C10","H2AX",0.906
"1353","H3C10","H2AC4",0.946
"1125","H3C10","H4C4",0.942
"951","CD2","TLN2",0.575
"1094","H3C10","H4C1",0.942
"1444","H3C10","H2BC6",0.807
"1139","H3C10","UHRF1",0.9
"1343","H3C10","H3C11",0.9
"1007","H3C10","H2BC11",0.903
"741","CEP55","CDC45",0.405
"1189","H3C10","H4C13",0.942
"727","CEP55","RACGAP1",0.526
"1001","ORC1","H2BC11",0.547
"1033","ORC1","H2BC17",0.547
"614","KIF20B","KIF20A",0.54
"879","ORC1","H2AX",0.526
"714","ORC1","CDC7",0.799
"630","ORC1","CDK1",0.668
"1315","ORC1","H2BC3",0.547
"788","ORC1","MCM10",0.516
"1402","ORC1","H2BC15",0.547
"1037","ORC1","H2BC14",0.547
"1222","ORC1","CCNA2",0.524
"747","ORC1","CDC45",0.8
"536","ORC1","H2BC13",0.547
"716","KIF20B","KIFC1",0.54
"738","KIF20B","RACGAP1",0.554
"471","KIF20B","KIF2C",0.54
"826","KIF20B","BRCA1",0.439
"901","KIF20B","KIF1A",0.54
"974","KIF20B","KIF18B",0.54
"848","KIF2C","BRCA1",0.439
"640","RAD54L","CDK1",0.408
"1469","RAD54L","RAD51",0.732
"654","CDC20","CDK1",0.972
"612","KIF2C","KIF20A",0.549
"520","KIF2C","CDCA8",0.415
"897","KIF2C","KIF1A",0.54
"971","KIF2C","KIF18B",0.926
"851","CDC20","BRCA1",0.54
"723","KIF2C","KIFC1",0.548
"1473","CDC20","RAD51",0.54
"517","CENPI","CDCA8",0.431
"609","CDC20","KIF20A",0.463
"524","CDC20","CKS2",0.67
"1233","CDC20","CCNA2",0.997
"595","CDC20","PTTG1",0.834
"975","CDC20","TK1",0.41
"920","CENPI","H2BC8",0.801
"1175","CENPI","H4C13",0.8
"682","DNM1","EPHB2",0.499
"559","CENPI","H2BC10",0.801
"814","CENPI","BRCA1",0.439
"1107","CENPI","H4C4",0.8
"666","CENPI","CENPK",0.999
"779","CENPI","HJURP",0.499
"657","CDCA8","CDK1",0.41
"1090","CENPI","H4C1",0.8
"1446","CENPI","H2BC6",0.801
"619","CDCA8","KIF20A",0.434
"631","CKS2","CDK1",0.998
"616","KIF4A","KIF20A",0.76
"604","KIF4A","PRC1",0.634
"838","KIF4A","BRCA1",0.439
"708","CKS2","PLEKHG2",0.47
"1216","CKS2","CCNA2",0.894
"1369","H2AC12","H2AC4",0.9
"1040","H2BC13","H2BC14",0.4
"1371","H2BC13","H2BC15",0.4
"1005","H2BC13","H2BC11",0.4
"1026","H2BC13","H2BC17",0.401
"877","H2BC13","H2AX",0.439
"1000","H2AC12","H2BC11",0.945
"1089","H2AC12","H4C1",0.907
"555","H2BC13","H2AC12",0.439
"1131","H2BC13","UHRF1",0.499
"1306","H2BC13","H2BC3",0.4
"1452","H2BC13","RAD51",0.499
"1411","H2BC13","PHF19",0.499
"765","H2BC13","TOP2A",0.435
"844","H2BC13","BRCA1",0.676
"829","H2AC12","BRCA1",0.531
"1269","H2AC12","H2AC15",0.9
"935","H2AC12","H2BC18",0.446
"1385","H2AC12","H2BC15",0.439
"1282","H2AC12","H2AC16",0.9
"1027","H2AC12","H2BC17",0.613
"1298","H2AC12","H2BC3",0.439
"1048","H2AC12","H2BC14",0.446
"1330","H2BC10","H3C11",0.807
"1157","H2BC10","H3C1",0.807
"1207","H2AC12","H4C13",0.907
"1110","H2AC12","H4C4",0.907
"1184","H2BC10","H4C13",0.908
"668","H2BC10","CENPK",0.8
"1477","FANCA","UBE2T",0.989
"1256","H2BC10","H2AC15",0.906
"1091","H2BC10","H4C1",0.908
"1441","H2BC10","H2BC6",0.9
"938","H2BC10","H2BC18",0.8
"1019","H2BC10","H2BC17",0.819
"868","NRCAM","SPTBN2",0.499
"1300","H2BC10","H2BC3",0.8
"930","H2BC10","H2BC8",0.9
"1102","H2BC10","H4C4",0.908
"1393","H2BC10","H2BC15",0.8
"1286","H2BC10","H2AC16",0.906
"1039","H2BC10","H2BC14",0.8
"636","FANCA","CDK1",0.457
"1490","FANCA","FANCB",0.999
"587","FANCA","EME1",0.499
"606","CIT","PRC1",0.63
"801","CD9","MME",0.681
"817","FANCA","BRCA1",0.926
"672","JUP","GAPDH",0.427
"1491","EME1","FANCB",0.499
"804","EME1","BRCA1",0.439
"805","HMMR","BRCA1",0.884
"1239","HMMR","FAM83D",0.764
"832","PRC1","BRCA1",0.439
"679","JUP","CDH24",0.545
"968","KIF20A","KIF18B",0.54
"717","KIF20A","KIFC1",0.572
"729","KIF20A","RACGAP1",0.931
"896","KIF20A","KIF1A",0.66
"953","CDK1","TLN2",0.635
"692","CLDN3","CLDN15",0.658
"676","CDK1","CCNF",0.707
"758","CLDN3","CLDN4",0.693
"876","CDK1","H2AX",0.475
"724","CDK1","HMGA1",0.457
"858","CDK1","PBK",0.537
"707","CDK1","PLEKHG2",0.47
"976","CDK1","TK1",0.485
"1238","CDK1","FAM83D",0.469
"1226","CDK1","CCNA2",0.999
"730","CDK1","RACGAP1",0.533
"1240","CDK1","SPRY1",0.42
"818","CDK1","BRCA1",0.457
"770","CDK1","TOP2A",0.822
"1499","CCNF","NUSAP1",0.457
"860","CDK1","CCNE2",0.696
"740","GAPDH","GPI",0.695
"1106","CENPK","H4C4",0.8
"777","CENPK","HJURP",0.686
"1193","CENPK","H4C13",0.8
"1438","CENPK","H2BC6",0.8
"917","CENPK","H2BC8",0.8
"1078","CENPK","H4C1",0.8
"1482","GAPDH","ENO1",0.902
"755","CLDN15","CLDN4",0.658
"1418","BCL6","NEB",0.422
"954","PARVB","TLN2",0.797
"1497","RUNX3","NOTCH1",0.637
"947","PARVB","ITGA7",0.65
"784","MDK","SLC2A1",0.565
"1464","CHEK1","RAD51",0.903
"887","TONSL","H2AX",0.42
"1211","TONSL","H4C13",0.92
"1156","TONSL","H3C1",0.446
"808","TONSL","BRCA1",0.588
"1116","TONSL","H4C4",0.9
"853","MZT2B","BRCA1",0.9
"1230","PLEKHG2","CCNA2",0.568
"1071","TONSL","H4C1",0.9
"830","CHEK1","BRCA1",0.84
"863","CHEK1","CCNE2",0.441
"907","KIFC1","KPNA2",0.461
"1148","KIFC1","H3C1",0.422
"856","PPFIA4","RIMS1",0.513
"754","CDC7","CDC45",0.872
"796","CDC7","MCM10",0.896
"837","KIFC1","BRCA1",0.442
"900","KIFC1","KIF1A",0.54
"973","KIFC1","KIF18B",0.54
"1481","GPI","ENO1",0.529
"983","CDC45","POLD1",0.625
"1231","TOP2A","CCNA2",0.654
"1242","CDC45","RECQL4",0.869
"791","CDC45","MCM10",0.998
"1080","HJURP","H4C1",0.9
"841","TOP2A","BRCA1",0.4
"1201","HJURP","H4C13",0.91
"1126","HJURP","H4C4",0.9
"811","MCM10","BRCA1",0.551
"957","IRF5","NLRP1",0.48
"1051","BRCA1","H2BC14",0.675
"1244","MCM10","RECQL4",0.951
"1395","BRCA1","H2BC15",0.676
"931","BRCA1","PRAME",0.42
"990","BRCA1","H2BC11",0.676
"871","BRCA1","H2AX",0.961
"1489","BRCA1","FANCB",0.439
"1308","BRCA1","H2BC3",0.827
"1245","BRCA1","RECQL4",0.439
"1461","BRCA1","RAD51",0.998
"905","BRCA1","KPNA2",0.457
"1496","BRCA1","NOTCH1",0.432
"984","BRCA1","POLD1",0.785
"1013","BRCA1","H2BC17",0.682
"956","PCDHGA5","PCDHGA4",0.467
"1134","BRCA1","UHRF1",0.562
"1224","BRCA1","CCNA2",0.666
"1479","BRCA1","UBE2T",0.553
"890","PBK","H2AX",0.408
"864","PCDHGB2","PCDHGB1",0.512
"1228","CCNE2","CCNA2",0.661
"1336","H2AX","H3C11",0.906
"1034","H2AX","H2BC17",0.589
"1002","H2AX","H2BC11",0.952
"1096","H2AX","H4C4",0.907
"1159","H2AX","H3C1",0.947
"1042","H2AX","H2BC14",0.66
"1140","H2AX","UHRF1",0.63
"1181","H2AX","H4C13",0.919
"1451","H2AX","RAD51",0.799
"1408","H2AX","PHF19",0.499
"1379","H2AX","H2BC15",0.439
"1303","H2AX","H2BC3",0.586
"1265","H2BC8","H2AC15",0.936
"1093","H2AX","H4C1",0.907
"969","KIF1A","KIF18B",0.54
"1448","LDHA","PFKFB3",0.406
"1168","H2BC8","H3C1",0.807
"1304","H2BC8","H2BC3",0.8
"1180","H2BC8","H4C13",0.908
"1095","H2BC8","H4C4",0.908
"1056","H2BC8","H2BC14",0.8
"1271","H2BC8","H2AC16",0.936
"1017","H2BC8","H2BC17",0.83
"1378","H2BC8","H2BC15",0.8
"1088","H2BC18","H4C1",0.817
"1326","H2BC8","H3C11",0.807
"1086","H2BC8","H4C1",0.908
"1424","H2BC8","H2BC6",0.9
"942","H2BC8","H2BC18",0.812
"1032","H2BC18","H2BC17",0.8
"1252","H2BC18","H2AC15",0.907
"1439","H2BC18","H2BC6",0.8
"1307","H2BC18","H2BC3",0.8
"1117","H2BC18","H4C4",0.817
"1381","H2BC18","H2BC15",0.8
"1203","H2BC18","H4C13",0.817
"1277","H2BC18","H2AC16",0.907
"1059","H2BC18","H2BC14",0.8
"1399","H2BC11","H2BC15",0.4
"985","BOP1","WDR18",0.658
"1161","KIF18B","H3C1",0.43
"1135","H2BC11","UHRF1",0.499
"950","ITGA7","TLN2",0.738
"1063","H2BC11","H4C1",0.956
"1112","H2BC11","H4C4",0.956
"1052","H2BC11","H2BC14",0.4
"1273","H2BC11","H2AC16",0.913
"1154","H2BC11","H3C1",0.903
"1025","H2BC11","H2BC17",0.51
"1355","H2BC11","H2AC4",0.955
"1406","H2BC11","PHF19",0.499
"1335","H2BC11","H3C11",0.916
"1182","H2BC11","H4C13",0.956
"1470","H2BC11","RAD51",0.499
"1295","H2BC11","H2BC3",0.557
"1268","H2BC11","H2AC15",0.913
"1122","H2BC17","H4C4",0.908
"1049","H2BC17","H2BC14",0.874
"1138","H2BC17","UHRF1",0.499
"1398","H2BC17","H2BC15",0.887
"1359","H2BC17","H2AC4",0.444
"1450","H2BC17","RAD51",0.499
"1062","H2BC17","H4C1",0.908
"1430","H2BC17","H2BC6",0.819
"1191","H2BC17","H4C13",0.908
"1413","H2BC17","PHF19",0.499
"1321","H2BC17","H2BC3",0.907
"1404","H2BC14","PHF19",0.499
"1197","H2BC14","H4C13",0.904
"1066","H2BC14","H4C1",0.904
"1455","H2BC14","RAD51",0.499
"1312","H2BC14","H2BC3",0.874
"1431","H2BC14","H2BC6",0.8
"1141","H2BC14","UHRF1",0.499
"1120","H2BC14","H4C4",0.904
"1384","H2BC14","H2BC15",0.874
"1287","H4C1","H2AC16",0.907
"1386","H4C1","H2BC15",0.817
"1115","H4C1","H4C4",0.952
"1322","H4C1","H2BC3",0.908
"1254","H4C1","H2AC15",0.907
"1195","H4C1","H4C13",0.952
"1145","H4C1","H3C1",0.942
"1337","H4C1","H3C11",0.942
"1350","H4C4","H2AC4",0.977
"1352","H4C1","H2AC4",0.977
"1440","H4C1","H2BC6",0.908
"1426","H4C4","H2BC6",0.908
"1347","H4C4","H3C11",0.942
"1314","UHRF1","H2BC3",0.63
"1257","H4C4","H2AC15",0.907
"1415","H3C1","PHF19",0.487
"1275","H4C4","H2AC16",0.907
"1374","H4C4","H2BC15",0.817
"1164","H4C4","H3C1",0.942
"1317","H4C4","H2BC3",0.908
"1208","H4C4","H4C13",0.952
"1345","UHRF1","H3C11",0.9
"1171","UHRF1","H3C1",0.96
"1436","H3C1","H2BC6",0.807
"1394","UHRF1","H2BC15",0.499
"1340","H3C1","H3C11",0.9
"1498","H3C1","NUSAP1",0.43
"1179","H3C1","H4C13",0.942
"1305","H3C1","H2BC3",0.857
"1362","H4C13","H2AC4",0.977
"1363","H3C1","H2AC4",0.946
"1334","H4C13","H3C11",0.942
"1380","H4C13","H2BC15",0.817
"1284","H4C13","H2AC16",0.907
"1267","H4C13","H2AC15",0.907
"1434","H2BC3","H2BC6",0.8
"1310","H4C13","H2BC3",0.908
"1433","H4C13","H2BC6",0.908
"1453","RECQL4","RAD51",0.41
"1367","H2AC15","H2AC4",0.9
"1445","H2AC15","H2BC6",0.906
"1280","H2AC15","H2AC16",0.9
"1432","H2AC16","H2BC6",0.906
"1356","H2AC16","H2AC4",0.9
"1407","H2BC3","PHF19",0.499
"1472","H2BC3","RAD51",0.499
"1396","H2BC3","H2BC15",0.874
"1351","H3C11","H2AC4",0.946
"1328","H2BC3","H3C11",0.807
"1368","H2BC3","H2AC4",0.906
"1423","H2BC15","H2BC6",0.8
"1429","H3C11","H2BC6",0.807
"1454","H2BC15","RAD51",0.499
"1412","H2BC15","PHF19",0.499
"1488","UBE2T","FANCB",0.988
